Date,Venue,Home.Team,Away.Team,Home.Score,Away.Score,Home.Margin,Away.Margin,Home.Win.Odds,Away.Win.Odds,Home.Line.Odds,Away.Line.Odds,Round,Season
1/5/10,AAMI,Adelaide,Port Adelaide,74,97,-23,23,2.55,1.52,12.5,-12.5,6,2010
1/5/10,M.C.G.,Essendon,Hawthorn,106,63,43,-43,2.65,1.49,14.5,-14.5,6,2010
1/5/10,S.C.G.,Sydney,Brisbane,107,87,20,-20,1.52,2.56,-12.5,12.5,6,2010
2/5/10,GMHBA,Geelong,Richmond,161,53,108,-108,1.03,12.6,-60.5,60.5,6,2010
2/5/10,M.C.G.,Carlton,Collingwood,102,155,-53,53,2.58,1.51,13.5,-13.5,6,2010
2/5/10,Domain,West Coast,Fremantle,73,111,-38,38,2.99,1.4,17.5,-17.5,6,2010
7/5/10,M.C.G.,Melbourne,Western Bulldogs,66,70,-4,4,4.22,1.23,26.5,-26.5,7,2010
8/5/10,Domain,West Coast,Hawthorn,102,94,8,-8,1.54,2.51,-12.5,12.5,7,2010
8/5/10,Marvel,Essendon,Port Adelaide,106,109,-3,3,1.75,2.1,-4.5,4.5,7,2010
8/5/10,Gabba,Brisbane,Fremantle,100,113,-13,13,1.48,2.68,-14.5,14.5,7,2010
8/5/10,M.C.G.,Collingwood,North Melbourne,157,91,66,-66,1.19,4.81,-30.5,30.5,7,2010
9/5/10,GMHBA,Geelong,Sydney,126,59,67,-67,1.28,3.72,-23.5,23.5,7,2010
9/5/10,AAMI,Adelaide,Richmond,104,54,50,-50,1.2,4.66,-29.5,29.5,7,2010
10/5/10,Marvel,St Kilda,Carlton,68,129,-61,61,1.44,2.81,-16.5,16.5,7,2010
14/5/10,Domain,Fremantle,Collingwood,97,133,-36,36,2.06,1.78,3.5,-3.5,8,2010
15/5/10,Canberra,Western Bulldogs,Sydney,101,63,38,-38,1.6,2.35,-9.5,9.5,8,2010
15/5/10,M.C.G.,Melbourne,West Coast,46,75,-29,29,1.35,3.23,-19.5,19.5,8,2010
15/5/10,Gabba,Brisbane,Geelong,74,155,-81,81,3.38,1.33,20.5,-20.5,8,2010
15/5/10,Marvel,North Melbourne,Adelaide,84,75,9,-9,1.59,2.38,-9.5,9.5,8,2010
16/5/10,M.C.G.,Richmond,Hawthorn,86,89,-3,3,5.1,1.17,30.5,-30.5,8,2010
16/5/10,AAMI,Port Adelaide,Carlton,92,118,-26,26,1.85,1.96,-1.5,1.5,8,2010
16/5/10,Marvel,St Kilda,Essendon,81,93,-12,12,1.4,2.98,-17.5,17.5,8,2010
21/5/10,M.C.G.,Collingwood,Geelong,50,86,-36,36,2.07,1.76,4.5,-4.5,9,2010
22/5/10,S.C.G.,Sydney,Fremantle,63,100,-37,37,1.73,2.12,-5.5,5.5,9,2010
22/5/10,Marvel,North Melbourne,Western Bulldogs,57,127,-70,70,4.22,1.23,26.5,-26.5,9,2010
22/5/10,TIO,Melbourne,Port Adelaide,111,110,1,-1,2.48,1.55,11.5,-11.5,9,2010
22/5/10,M.C.G.,Essendon,Richmond,130,95,35,-35,1.25,4.03,-24.5,24.5,9,2010
23/5/10,AAMI,Adelaide,Brisbane,93,81,12,-12,2.14,1.72,5.5,-5.5,9,2010
23/5/10,Marvel,Carlton,Hawthorn,60,110,-50,50,1.37,3.12,-19.5,19.5,9,2010
23/5/10,Domain,West Coast,St Kilda,56,91,-35,35,2.02,1.8,3.5,-3.5,9,2010
28/5/10,Marvel,Essendon,Western Bulldogs,99,90,9,-9,3.18,1.36,19.5,-19.5,10,2010
29/5/10,GMHBA,Geelong,Melbourne,121,67,54,-54,1.04,11.25,-50.5,50.5,10,2010
29/5/10,AAMI,Port Adelaide,Richmond,30,77,-47,47,1.18,4.93,-30.5,30.5,10,2010
29/5/10,Marvel,St Kilda,Adelaide,123,76,47,-47,1.23,4.25,-26.5,26.5,10,2010
29/5/10,Gabba,Brisbane,Collingwood,88,80,8,-8,3.66,1.29,22.5,-22.5,10,2010
30/5/10,M.C.G.,Hawthorn,Sydney,79,77,2,-2,1.3,3.55,-21.5,21.5,10,2010
30/5/10,Marvel,Carlton,West Coast,105,76,29,-29,1.19,4.75,-30.5,30.5,10,2010
30/5/10,Domain,Fremantle,North Melbourne,139,78,61,-61,1.12,6.35,-38.5,38.5,10,2010
4/6/10,Marvel,Richmond,St Kilda,59,97,-38,38,6.05,1.13,37.5,-37.5,11,2010
5/6/10,M.C.G.,Carlton,Melbourne,101,60,41,-41,1.37,3.14,-19.5,19.5,11,2010
5/6/10,AAMI,Adelaide,Fremantle,105,82,23,-23,2.89,1.42,17.5,-17.5,11,2010
5/6/10,Domain,West Coast,Geelong,98,122,-24,24,6.8,1.11,39.5,-39.5,11,2010
5/6/10,Marvel,North Melbourne,Brisbane,90,89,1,-1,2.53,1.53,12.5,-12.5,11,2010
6/6/10,S.C.G.,Sydney,Essendon,89,80,9,-9,1.68,2.2,-7.5,7.5,11,2010
6/6/10,M.C.G.,Hawthorn,Port Adelaide,74,63,11,-11,1.39,3.02,-18.5,18.5,11,2010
6/6/10,Marvel,Collingwood,Western Bulldogs,113,103,10,-10,1.69,2.18,-6.5,6.5,11,2010
11/6/10,Marvel,North Melbourne,Carlton,97,68,29,-29,3.8,1.27,23.5,-23.5,12,2010
12/6/10,UTAS,Hawthorn,Adelaide,124,77,47,-47,1.38,3.07,-18.5,18.5,12,2010
12/6/10,AAMI,Port Adelaide,Sydney,55,93,-38,38,1.85,1.97,-2.5,2.5,12,2010
12/6/10,Marvel,Essendon,Geelong,83,154,-71,71,4.03,1.25,25.5,-25.5,12,2010
13/6/10,M.C.G.,Richmond,West Coast,126,77,49,-49,1.82,2,-2.5,2.5,12,2010
13/6/10,Marvel,Western Bulldogs,Brisbane,121,56,65,-65,1.26,3.9,-24.5,24.5,12,2010
13/6/10,Domain,Fremantle,St Kilda,67,85,-18,18,1.66,2.23,-7.5,7.5,12,2010
14/6/10,M.C.G.,Melbourne,Collingwood,76,76,0,0,5.32,1.16,32.5,-32.5,12,2010
18/6/10,M.C.G.,Hawthorn,Essendon,102,86,16,-16,1.53,2.52,-11.5,11.5,13,2010
19/6/10,Marvel,Carlton,Fremantle,87,96,-9,9,1.65,2.25,-7.5,7.5,13,2010
19/6/10,Gabba,Brisbane,Richmond,86,105,-19,19,1.4,2.98,-17.5,17.5,13,2010
20/6/10,Marvel,North Melbourne,Port Adelaide,129,93,36,-36,1.33,3.35,-20.5,20.5,13,2010
20/6/10,Domain,West Coast,Western Bulldogs,59,119,-60,60,3.44,1.32,21.5,-21.5,13,2010
25/6/10,M.C.G.,St Kilda,Geelong,70,46,24,-24,3.35,1.33,20.5,-20.5,13,2010
26/6/10,ANZ,Sydney,Collingwood,71,96,-25,25,2.23,1.66,7.5,-7.5,13,2010
27/6/10,AAMI,Adelaide,Melbourne,117,73,44,-44,1.62,2.31,-8.5,8.5,13,2010
1/7/10,Marvel,Carlton,Brisbane,120,65,55,-55,1.25,4,-24.5,24.5,14,2010
2/7/10,M.C.G.,Hawthorn,Western Bulldogs,79,76,3,-3,2.33,1.61,9.5,-9.5,14,2010
3/7/10,Domain,Fremantle,Port Adelaide,115,58,57,-57,1.12,6.35,-38.5,38.5,14,2010
3/7/10,AAMI,Adelaide,Essendon,124,40,84,-84,1.62,2.32,-8.5,8.5,14,2010
3/7/10,Marvel,Collingwood,West Coast,135,52,83,-83,1.06,9.55,-48.5,48.5,14,2010
4/7/10,GMHBA,Geelong,North Melbourne,98,63,35,-35,1.14,5.78,-35.5,35.5,14,2010
4/7/10,M.C.G.,Richmond,Sydney,89,85,4,-4,2.24,1.66,7.5,-7.5,14,2010
4/7/10,Marvel,St Kilda,Melbourne,100,65,35,-35,1.14,5.78,-35.5,35.5,14,2010
9/7/10,AAMI,Port Adelaide,Collingwood,79,105,-26,26,5.17,1.17,31.5,-31.5,15,2010
10/7/10,Domain,West Coast,Adelaide,95,117,-22,22,2.77,1.45,15.5,-15.5,15,2010
10/7/10,M.C.G.,Geelong,Hawthorn,85,83,2,-2,1.34,3.29,-19.5,19.5,15,2010
10/7/10,Marvel,Richmond,Fremantle,100,81,19,-19,2.62,1.5,14.5,-14.5,15,2010
10/7/10,Gabba,Brisbane,St Kilda,65,79,-14,14,4.14,1.24,25.5,-25.5,15,2010
11/7/10,S.C.G.,Sydney,North Melbourne,85,55,30,-30,1.45,2.77,-16.5,16.5,15,2010
11/7/10,M.C.G.,Melbourne,Essendon,122,103,19,-19,1.87,1.95,-1.5,1.5,15,2010
11/7/10,Marvel,Carlton,Western Bulldogs,58,126,-68,68,2.61,1.5,13.5,-13.5,15,2010
16/7/10,AAMI,Adelaide,Geelong,74,63,11,-11,4.03,1.25,24.5,-24.5,16,2010
17/7/10,M.C.G.,Collingwood,St Kilda,100,52,48,-48,2.1,1.74,5.5,-5.5,16,2010
17/7/10,UTAS,Hawthorn,Brisbane,118,43,75,-75,1.29,3.66,-23.5,23.5,16,2010
17/7/10,TIO,Western Bulldogs,Port Adelaide,83,47,36,-36,1.17,5.17,-31.5,31.5,16,2010
17/7/10,Marvel,Essendon,West Coast,100,132,-32,32,1.4,3,-17.5,17.5,16,2010
18/7/10,Marvel,Carlton,Sydney,68,107,-39,39,1.59,2.37,-10.5,10.5,16,2010
18/7/10,M.C.G.,Richmond,North Melbourne,53,103,-50,50,1.8,2.02,-2.5,2.5,16,2010
